ID,name,Vermin,stars,votes,safety
107454144,Problem B,V0,1.5,2,""
107926041,Problem G,V0,1.5,2,""
107476218,Drunk at the Wedding,V0-,1.5,2,""
110127156,Problem B,V0,1.3,3,""
106124273,Gold,V0,1.3,3,""
106124256,Green,V0-,1.3,3,""
108022712,Problem A,V0,1.3,3,""
106652567,Peppertree Left,V0,1.3,4,""
106652588,The Arete,V0,1.2,5,""
107013414,Armpit Mantle,V0,1.3,4,""
106358485,Problem C,V0,1,3,""
106121263,Big Rock Boys Mantle,V5,1,2,""
105722755,Slashface,V3,3.9,101,R
105725464,JBMFP,V5,3.9,169,""
105722992,Pigpen,V4,3.9,143,""
105722608,Stem Gem,V4,3.8,151,""
105723517,Saturday Night Live,V4,3.6,116,""
105724441,The Chube,V2,3.4,277,""
106329025,Sloper Safari,V4,3.2,158,""
106072721,Hobbit Hole Offwidth,V0,3.2,129,""
107905741,Nicole Overhang,V6,3.2,81,""
106048290,False Hueco Traverse,V2,3,235,""
106039628,Yabo Roof,V3,3,131,""
105722209,Pinhead,V0,2.9,253,""
106066269,"Yabba Dabba Don't",V3,2.9,134,""
107934846,Little Chucky,V4,2.8,124,""
106048286,False Hueco,V1,2.7,174,""
105725713,Not So Thin Lizzie,V3,2.7,88,""
105723397,Caveman,V7-,3.6,61,""
105908403,The Boxer Problem,V2,2.5,118,""
105725470,Chuckawalla,V1,2.5,107,""
106069406,Classic Thin Crack,V2,3,69,""
105908399,Undertow,V3,2.8,72,""
105933364,Thingamajig,V0-,2.4,84,""
106169368,Holenoid (aka The Grundle from Down Under),V0+,2.3,111,""
105725209,Betty Jo Yablonksi,V0,3.6,52,R
107601458,Satellite Boulder Left,V3,3.5,54,PG13
